-,-,-
0.12,0.95,0.13,0.73,0.79,-0.31,0.97,1.12,4,542,4,23
0.12,0.95,0.09,0.98,0.85,-0.43,0.97,1.37,4,545,5,24
0.12,0.95,0.13,0.98,0.98,-0.49,0.97,1.46,4,544,3,25
0.12,0.95,0.12,1.22,0.79,-0.37,0.97,1.50,4,543,4,25
0.12,0.96,0.13,1.40,0.37,-0.24,0.97,1.47,5,544,3,23
0.12,0.95,0.13,1.10,0.55,-0.24,0.97,1.25,4,544,5,24
0.12,0.96,0.12,0.79,0.73,-0.49,0.97,1.19,4,546,5,25
0.12,0.95,0.13,1.10,0.61,-0.61,0.97,1.40,4,545,6,22
0.12,0.95,0.13,0.61,0.73,-0.43,0.97,1.04,4,545,4,22
0.12,0.96,0.12,0.49,0.85,-0.49,0.97,1.10,4,545,5,26
0.12,0.95,0.13,0.98,0.55,-0.31,0.97,1.16,4,543,4,22
0.12,0.95,0.13,0.43,0.79,-0.18,0.97,0.92,4,544,5,22
0.12,0.95,0.13,0.79,0.73,-0.18,0.97,1.10,4,546,5,22
0.12,0.95,0.13,0.61,0.67,-0.24,0.97,0.94,5,546,5,25
0.12,0.95,0.13,0.61,0.67,-0.31,0.97,0.96,4,542,5,22
0.12,0.95,0.13,0.55,0.73,-0.37,0.97,0.99,4,546,5,24
0.11,0.95,0.13,0.92,0.49,-0.43,0.97,1.12,4,545,4,25
0.12,0.96,0.13,0.92,0.61,-0.24,0.97,1.13,4,543,4,25
0.12,0.95,0.13,0.85,0.85,-0.43,0.97,1.28,4,544,6,24
0.12,0.95,0.13,0.92,0.67,-0.31,0.97,1.18,4,543,3,24
0.12,0.95,0.13,0.73,0.67,-0.37,0.97,1.06,4,544,6,24
0.12,0.95,0.13,1.10,0.55,-0.31,0.97,1.27,4,546,4,22
0.12,0.95,0.13,0.67,0.67,-0.43,0.97,1.04,4,546,5,23
0.12,0.95,0.13,1.10,0.61,-0.31,0.97,1.29,4,544,4,25
0.12,0.95,0.13,0.61,0.49,-0.43,0.97,0.89,4,546,5,23
0.12,0.96,0.13,0.73,0.73,-0.43,0.97,1.12,4,544,6,23
0.12,0.95,0.13,0.49,0.67,-0.55,0.97,1.00,4,544,4,23
0.12,0.96,0.12,0.18,0.98,-0.18,0.97,1.01,4,544,5,25
0.12,0.96,0.12,0.73,0.73,-0.24,0.97,1.06,4,544,4,24
0.12,0.95,0.13,0.92,0.49,-0.43,0.97,1.12,4,544,3,23
0.12,0.95,0.13,0.85,0.67,-0.31,0.97,1.13,4,544,5,22
0.12,0.96,0.13,0.31,0.67,-0.55,0.97,0.92,4,543,5,24
0.12,0.95,0.13,0.92,0.61,-0.49,0.97,1.20,4,543,5,25
0.12,0.96,0.12,0.61,0.61,-0.43,0.97,0.96,4,545,5,24
0.12,0.96,0.13,0.92,0.55,-0.49,0.97,1.17,4,544,4,23
0.12,0.96,0.13,1.10,0.67,-0.31,0.97,1.32,4,545,5,22
0.12,0.96,0.13,0.98,0.67,-0.31,0.97,1.22,4,543,5,24
0.12,0.95,0.13,0.85,0.73,-0.18,0.97,1.14,4,543,2,24
0.12,0.95,0.13,0.92,0.67,-0.18,0.97,1.15,5,544,5,24
0.12,0.95,0.13,0.92,0.61,-0.31,0.97,1.14,5,544,6,24
0.12,0.95,0.13,0.98,0.61,-0.43,0.97,1.23,4,543,3,25
0.12,0.95,0.13,0.67,0.67,-0.37,0.97,1.02,4,546,5,24
0.12,0.95,0.13,0.67,0.61,-0.43,0.97,1.00,4,544,6,23
0.12,0.96,0.12,0.73,0.67,-0.37,0.97,1.06,4,545,5,23
0.12,0.95,0.13,0.79,0.61,-0.43,0.97,1.09,4,544,3,23
0.12,0.96,0.13,0.49,0.79,-0.49,0.97,1.05,4,545,5,23
0.11,0.95,0.13,0.49,0.55,-0.31,0.97,0.80,4,545,5,24
0.12,0.95,0.13,0.43,0.67,-0.49,0.97,0.93,4,544,4,24
0.12,0.95,0.12,0.55,0.79,-0.49,0.97,1.08,5,542,4,23
0.12,0.95,0.13,0.73,0.49,-0.43,0.97,0.98,4,544,7,23
0.12,0.95,0.13,0.67,0.61,-0.12,0.97,0.92,4,542,5,25
0.12,0.95,0.13,0.49,0.61,-0.37,0.97,0.86,4,541,7,22
0.12,0.95,0.13,0.49,0.73,-0.24,0.97,0.91,4,541,4,24
0.12,0.96,0.13,0.67,0.67,-0.31,0.97,1.00,5,541,3,24
0.12,0.95,0.13,0.55,0.79,-0.31,0.97,1.01,4,541,4,23
0.12,0.96,0.12,0.43,0.73,-0.24,0.97,0.88,4,541,3,26
0.12,0.96,0.16,0.67,0.31,-0.37,0.98,0.82,5,540,5,25
0.12,0.96,0.13,1.04,0.61,-0.49,0.97,1.30,5,546,5,26
0.12,0.95,0.13,0.79,0.37,-0.37,0.97,0.95,4,544,5,25
0.12,0.95,0.13,1.04,0.67,-0.31,0.97,1.27,4,540,3,22
0.12,0.96,0.12,0.98,0.67,-0.18,0.97,1.20,4,541,5,25
0.12,0.96,0.13,0.98,0.61,-0.37,0.97,1.21,4,543,6,23
0.12,0.96,0.12,0.85,0.67,-0.43,0.97,1.17,4,540,5,24
0.12,0.95,0.13,0.98,0.67,-0.49,0.97,1.28,4,539,5,25
0.12,0.95,0.12,0.85,0.61,-0.43,0.97,1.13,5,540,1,24
0.12,0.95,0.13,0.37,0.67,-0.43,0.97,0.88,4,543,5,25
0.12,0.95,0.12,0.43,0.61,-0.31,0.97,0.81,5,542,5,26
0.12,0.95,0.13,0.43,0.67,-0.49,0.97,0.93,4,542,4,24
0.12,0.96,0.12,0.43,0.85,-0.31,0.97,1.00,4,542,5,25
0.12,0.96,0.12,0.55,0.67,-0.12,0.97,0.88,4,539,5,25
0.12,0.96,0.12,0.61,0.67,-0.31,0.97,0.96,4,543,5,25
0.12,0.96,0.12,0.98,0.55,-0.18,0.97,1.14,4,541,5,24
0.12,0.96,0.12,0.73,0.67,-0.43,0.97,1.08,4,539,5,28
0.12,0.95,0.12,1.04,0.61,-0.24,0.97,1.23,4,541,5,24
0.12,0.95,0.13,1.04,0.37,-0.55,0.97,1.23,4,540,4,23
0.12,0.96,0.13,0.92,0.61,-0.43,0.97,1.18,4,540,5,23
0.12,0.96,0.13,0.85,0.37,-0.55,0.97,1.08,4,540,4,25
0.12,0.95,0.13,1.04,0.55,-0.37,0.97,1.23,4,540,5,23
0.12,0.95,0.13,0.92,0.61,-0.31,0.97,1.14,4,541,6,24
0.12,0.95,0.13,0.85,0.67,-0.43,0.97,1.17,4,541,5,25
0.12,0.95,0.12,0.79,0.67,-0.31,0.97,1.08,4,543,4,23
0.12,0.96,0.13,0.55,0.49,-0.37,0.97,0.82,5,540,5,25
0.12,0.95,0.13,0.49,0.79,-0.37,0.97,1.00,5,540,4,24
0.12,0.96,0.12,0.37,0.61,-0.55,0.97,0.90,4,541,5,26
0.12,0.96,0.13,0.79,0.67,-0.24,0.97,1.07,4,541,5,25
0.12,0.95,0.12,0.85,0.61,-0.37,0.97,1.11,4,540,4,23
0.12,0.95,0.12,0.61,0.73,-0.18,0.97,0.97,4,539,8,25
0.12,0.96,0.12,0.79,0.67,-0.06,0.97,1.04,4,544,5,25
0.12,0.96,0.12,0.79,0.43,-0.43,0.97,1.00,4,540,5,25
0.12,0.95,0.12,0.85,0.37,-0.31,0.97,0.98,4,541,5,25
0.12,0.96,0.12,0.73,0.49,-0.55,0.97,1.04,4,542,5,25
0.12,0.95,0.13,1.16,0.55,-0.31,0.97,1.32,4,541,5,24
0.12,0.95,0.13,0.79,0.61,-0.43,0.97,1.09,5,541,5,25
0.12,0.95,0.12,1.04,0.49,-0.37,0.97,1.20,4,541,3,26
0.12,0.95,0.13,0.92,0.55,-0.31,0.97,1.11,4,540,5,24
0.12,0.95,0.13,0.79,0.61,-0.49,0.97,1.11,4,541,5,24
0.12,0.95,0.12,0.79,0.55,-0.49,0.97,1.08,4,543,5,25
0.12,0.96,0.13,0.61,0.55,-0.43,0.97,0.93,4,542,4,25
0.12,0.95,0.13,0.31,0.73,-0.49,0.97,0.93,4,546,5,24
0.12,0.96,0.12,0.43,0.49,-0.49,0.97,0.81,4,542,5,25
0.12,0.96,0.13,0.67,0.43,-0.31,0.97,0.85,4,544,5,26
0.12,0.96,0.13,0.55,0.67,-0.37,0.97,0.94,4,545,6,24
0.12,0.95,0.12,0.73,0.73,-0.24,0.97,1.06,4,542,5,23
0.12,0.95,0.12,0.79,0.61,-0.49,0.97,1.11,4,542,4,25
0.12,0.95,0.12,1.10,0.55,-0.61,0.97,1.37,4,544,3,25
0.12,0.95,0.13,0.85,0.55,-0.61,0.97,1.19,4,544,4,23
0.12,0.96,0.12,0.79,0.67,-0.37,0.97,1.10,4,546,6,24
0.12,0.95,0.13,1.04,0.79,-0.55,0.97,1.42,4,544,5,22
0.12,0.95,0.13,0.55,0.67,-0.37,0.97,0.94,4,546,6,24
0.12,0.95,0.12,0.92,0.61,-0.18,0.97,1.12,4,544,5,22
0.12,0.95,0.13,0.61,0.49,-0.18,0.97,0.80,4,546,6,22
0.12,0.95,0.13,0.73,0.85,-0.18,0.97,1.14,4,544,6,24
0.12,0.96,0.12,0.79,0.67,-0.37,0.97,1.10,4,541,4,21
0.12,0.95,0.13,0.79,0.67,-0.61,0.97,1.21,4,542,7,23
0.12,0.95,0.12,0.55,0.79,-0.49,0.97,1.08,4,543,4,24
0.12,0.96,0.12,0.61,0.49,-0.37,0.97,0.86,4,543,5,24
0.12,0.95,0.13,0.98,0.49,-0.31,0.97,1.13,4,544,5,23
0.12,0.96,0.13,0.67,0.43,-0.49,0.97,0.93,5,542,6,22
0.12,0.95,0.13,0.98,0.73,-0.37,0.97,1.27,4,543,5,21
0.12,0.95,0.13,0.43,0.73,-0.49,0.97,0.98,4,543,5,23
0.12,0.96,0.12,0.79,0.73,-0.43,0.97,1.16,4,542,5,22
0.12,0.96,0.13,0.67,0.55,-0.37,0.97,0.94,4,543,5,22
0.12,0.95,0.12,0.55,0.61,-0.49,0.97,0.96,4,545,5,24
0.12,0.95,0.12,0.79,0.67,-0.37,0.97,1.10,4,541,6,23
0.12,0.95,0.13,0.61,0.67,-0.43,0.97,1.00,4,545,5,22
0.12,0.96,0.12,0.67,0.61,-0.24,0.97,0.94,4,541,5,24
0.12,0.96,0.12,0.73,0.67,-0.37,0.97,1.06,4,545,6,24
0.12,0.95,0.13,0.92,0.61,-0.18,0.97,1.12,5,544,4,25
0.12,0.96,0.12,1.04,0.55,-0.37,0.97,1.23,4,544,5,23
0.12,0.95,0.12,1.10,0.61,-0.49,0.97,1.35,4,541,5,22
0.12,0.95,0.13,1.16,0.67,-0.43,0.97,1.41,4,542,5,24
0.12,0.95,0.13,0.79,0.67,-0.37,0.97,1.10,4,542,4,24
0.12,0.95,0.12,0.67,0.61,-0.18,0.97,0.93,4,545,5,22
0.12,0.96,0.12,0.37,0.55,-0.12,0.97,0.67,4,542,4,23
0.12,0.96,0.12,0.67,0.49,-0.06,0.97,0.83,4,544,5,23
0.12,0.95,0.12,0.67,0.43,-0.24,0.97,0.83,4,542,4,22
0.12,0.95,0.12,0.85,0.43,-0.37,0.97,1.02,4,542,3,23
0.12,0.95,0.12,0.43,0.73,-0.55,0.97,1.01,4,544,5,24
0.12,0.96,0.12,0.73,0.85,-0.55,0.97,1.25,4,543,4,23
0.12,0.95,0.12,0.92,0.49,-0.43,0.97,1.12,4,542,5,23
0.12,0.95,0.12,0.92,0.61,-0.31,0.97,1.14,4,541,5,24
0.12,0.96,0.12,1.04,0.55,-0.24,0.97,1.20,4,541,6,23
0.12,0.95,0.12,1.10,0.37,-0.37,0.97,1.21,4,541,5,24
0.12,0.95,0.13,0.92,0.55,-0.37,0.97,1.13,4,542,8,22
0.12,0.95,0.12,0.61,0.55,-0.55,0.97,0.99,4,541,5,24
0.12,0.95,0.12,0.73,0.73,-0.49,0.97,1.15,4,541,4,23
0.12,0.95,0.12,0.49,0.73,-0.43,0.97,0.98,4,543,5,25
0.12,0.95,0.12,0.61,0.92,-0.37,0.97,1.16,4,542,5,24
0.12,0.96,0.12,0.61,0.67,-0.18,0.97,0.93,4,542,4,21
0.12,0.96,0.12,0.37,0.61,-0.24,0.97,0.75,4,544,6,22
0.12,0.96,0.12,0.79,0.61,-0.31,0.97,1.05,4,542,5,23
0.12,0.96,0.12,0.67,0.61,-0.49,0.97,1.03,4,541,5,23
0.12,0.95,0.12,0.98,0.61,-0.55,0.97,1.28,4,543,4,24
0.12,0.96,0.12,0.67,0.61,-0.31,0.97,0.96,4,543,6,25
0.12,0.95,0.12,0.79,0.49,-0.18,0.97,0.95,4,541,5,25
0.12,0.95,0.13,0.92,0.55,-0.24,0.97,1.10,4,543,6,24
0.12,0.95,0.12,0.85,0.55,-0.18,0.97,1.03,4,543,5,23
0.12,0.96,0.12,0.67,0.55,-0.31,0.97,0.92,4,542,5,25
0.12,0.95,0.12,0.61,0.49,-0.55,0.97,0.96,4,542,6,23
0.12,0.95,0.12,0.73,0.55,-0.24,0.97,0.95,4,542,5,22
0.12,0.95,0.12,0.43,0.55,-0.31,0.97,0.76,4,541,4,25
0.12,0.95,0.12,0.67,0.61,-0.31,0.97,0.96,4,539,4,23
0.12,0.96,0.12,0.37,0.61,-0.18,0.97,0.73,4,542,4,24
0.12,0.96,0.12,0.43,0.55,-0.24,0.97,0.74,4,540,5,24
0.12,0.96,0.12,0.61,0.55,-0.24,0.97,0.86,4,540,6,24
0.12,0.95,0.12,0.73,0.73,-0.31,0.97,1.08,4,539,5,23
0.12,0.95,0.12,0.55,0.73,-0.18,0.97,0.93,4,539,5,24
0.12,0.96,0.12,0.43,0.67,-0.31,0.97,0.85,4,540,6,24
0.12,0.96,0.12,0.49,0.67,-0.24,0.97,0.87,4,542,5,25
0.12,0.95,0.12,0.55,0.49,-0.24,0.97,0.77,4,539,4,23
0.12,0.95,0.12,0.43,0.79,-0.24,0.97,0.93,4,539,5,27
0.12,0.96,0.12,0.55,0.73,-0.31,0.97,0.97,4,539,4,26
0.12,0.96,0.12,0.67,0.61,-0.37,0.97,0.98,4,537,2,25
0.12,0.96,0.12,0.61,0.79,-0.43,0.97,1.09,4,537,6,25
0.12,0.96,0.12,0.79,0.67,-0.49,0.97,1.15,4,541,5,24
0.12,0.95,0.12,0.85,0.67,-0.43,0.97,1.17,4,539,4,24
0.12,0.95,0.12,0.73,0.43,-0.37,0.97,0.92,4,538,5,25
0.12,0.95,0.12,0.67,0.55,-0.24,0.97,0.90,4,539,5,24
0.12,0.95,0.12,0.61,0.49,-0.43,0.97,0.89,4,538,5,23
0.12,0.95,0.12,0.73,0.37,-0.31,0.97,0.87,4,538,6,24
0.12,0.96,0.12,0.55,0.67,-0.43,0.97,0.97,4,539,3,24
0.12,0.96,0.12,0.79,0.61,-0.31,0.97,1.05,4,538,4,23
0.12,0.95,0.12,0.85,0.73,-0.24,0.97,1.15,4,539,6,25
0.12,0.96,0.12,0.55,0.67,-0.43,0.97,0.97,4,538,5,26
0.12,0.96,0.12,0.85,0.61,-0.37,0.97,1.11,4,539,4,26
0.12,0.95,0.12,0.73,0.43,-0.43,0.97,0.95,4,541,5,25
0.12,0.96,0.12,1.10,0.61,-0.24,0.97,1.28,4,538,4,24
0.12,0.95,0.12,0.79,0.43,-0.37,0.97,0.97,4,537,6,23
0.12,0.95,0.12,1.16,0.55,-0.31,0.97,1.32,4,541,5,25
0.12,0.96,0.12,0.85,0.55,-0.24,0.97,1.04,4,539,6,25
0.12,0.95,0.12,0.98,0.61,-0.49,0.97,1.25,5,539,6,24
0.12,0.95,0.12,0.73,0.67,-0.43,0.97,1.08,4,541,6,24
0.12,0.95,0.12,0.67,0.67,-0.49,0.97,1.07,4,538,4,25
0.12,0.95,0.12,0.92,0.55,-0.24,0.97,1.10,4,542,5,26
0.12,0.96,0.12,0.37,0.55,-0.31,0.97,0.73,4,539,3,25
0.12,0.95,0.12,0.67,0.61,-0.43,0.97,1.00,4,537,6,26
0.12,0.95,0.12,0.73,0.73,-0.24,0.97,1.06,4,539,5,24
0.12,0.96,0.12,0.61,0.79,-0.49,0.97,1.11,4,538,4,24
0.12,0.96,0.12,0.55,0.85,-0.43,0.97,1.10,4,540,6,23
0.12,0.96,0.12,0.43,0.55,-0.43,0.97,0.82,4,539,4,23
0.12,0.96,0.12,0.92,0.73,-0.43,0.97,1.25,4,538,5,24
0.12,0.95,0.12,0.67,0.55,-0.55,0.97,1.03,4,537,5,24
0.12,0.95,0.12,0.61,0.61,-0.31,0.97,0.92,4,539,5,25
0.12,0.95,0.12,0.31,0.55,-0.37,0.97,0.73,4,536,5,24
0.12,0.96,0.12,0.61,0.43,0.00,0.97,0.75,4,540,6,24
0.11,0.96,0.12,0.85,0.24,-0.18,0.97,0.91,4,538,5,24
0.12,0.95,0.12,0.67,0.67,-0.37,0.97,1.02,4,540,6,24
0.12,0.96,0.12,0.92,0.49,-0.49,0.97,1.15,4,538,5,25
0.12,0.96,0.12,0.85,0.67,-0.43,0.97,1.17,4,539,5,24
0.12,0.96,0.12,0.92,0.55,-0.06,0.97,1.07,4,539,6,24
0.12,0.95,0.12,0.55,0.55,-0.55,0.97,0.95,4,539,5,22
0.12,0.96,0.12,0.55,0.67,-0.31,0.97,0.92,4,540,5,25
0.12,0.96,0.12,0.67,0.73,-0.43,0.97,1.08,4,539,4,24
0.12,0.95,0.12,1.04,0.55,-0.43,0.97,1.25,4,540,5,24
0.12,0.95,0.12,0.85,0.49,-0.49,0.97,1.10,5,542,6,25
0.12,0.95,0.12,0.73,0.61,-0.37,0.97,1.02,4,539,4,26
0.12,0.96,0.12,0.73,0.61,-0.37,0.97,1.02,4,540,6,25
0.12,0.96,0.12,0.55,0.61,-0.49,0.97,0.96,5,540,3,25
0.12,0.96,0.12,0.55,0.98,-0.37,0.97,1.18,4,539,5,26
0.12,0.96,0.12,0.67,0.61,-0.73,0.97,1.17,4,539,6,25
0.12,0.95,0.12,0.92,0.43,-0.43,0.97,1.10,5,540,5,25
0.11,0.96,0.12,0.61,0.98,-0.31,0.97,1.19,4,539,6,25
0.12,0.96,0.12,0.49,0.49,-0.18,0.97,0.71,4,539,4,25
0.12,0.96,0.12,0.92,0.55,-0.18,0.97,1.08,4,539,6,26
0.12,0.95,0.12,0.73,0.61,-0.31,0.97,1.00,4,539,4,26
0.12,0.96,0.12,0.61,0.73,-0.18,0.97,0.97,4,541,7,25
0.12,0.95,0.12,0.67,0.43,-0.43,0.97,0.90,4,539,5,26
0.12,0.95,0.12,0.61,0.55,-0.37,0.97,0.90,4,539,7,26
0.12,0.95,0.12,0.43,0.49,-0.18,0.97,0.67,4,538,5,25
0.12,0.96,0.12,0.61,0.73,-0.12,0.97,0.96,4,539,6,23
0.11,0.95,0.12,0.31,0.92,-0.24,0.97,1.00,5,537,8,24
0.12,0.95,0.12,0.12,0.61,-0.24,0.97,0.67,4,539,9,25
0.11,0.96,0.12,0.24,0.73,-0.18,0.97,0.79,4,542,8,25
0.11,0.96,0.12,0.18,0.92,-0.24,0.97,0.97,5,540,9,24
0.12,0.96,0.12,0.67,0.85,-0.37,0.97,1.15,4,542,8,27
0.12,0.96,0.12,1.59,1.04,-0.49,0.97,1.96,5,541,8,24
0.11,0.95,0.12,2.26,0.98,-0.67,0.97,2.55,5,541,8,25
0.12,0.96,0.12,1.28,0.98,-0.55,0.97,1.70,5,540,7,25
0.12,0.95,0.13,1.40,1.22,-0.37,0.96,1.90,5,540,7,24
0.12,0.96,0.12,-0.18,1.34,0.06,0.97,1.36,5,539,6,24
0.12,0.96,0.12,0.43,0.98,-0.06,0.97,1.07,5,539,8,26
0.12,0.95,0.12,0.18,0.98,-0.18,0.97,1.01,5,536,8,25
0.12,0.96,0.12,0.12,0.79,-0.31,0.97,0.86,5,537,9,26
0.12,0.95,0.12,0.31,0.43,-0.37,0.97,0.64,5,537,10,26
0.12,0.96,0.12,-0.18,0.37,-0.18,0.97,0.45,5,538,10,25
0.12,0.96,0.12,0.37,0.06,-0.24,0.97,0.44,5,538,9,27
0.11,0.95,0.12,-0.06,0.24,-0.24,0.97,0.35,5,535,9,25
0.12,0.96,0.12,-0.18,0.43,-0.06,0.97,0.47,5,536,10,25
0.11,0.96,0.12,0.12,0.37,-0.18,0.97,0.43,5,538,11,26
0.11,0.95,0.12,0.43,0.55,-0.31,0.97,0.76,5,535,8,25
0.11,0.96,0.12,0.24,0.61,-0.18,0.97,0.68,5,536,10,25
0.11,0.96,0.11,0.06,0.55,-0.24,0.97,0.60,5,534,9,24
0.12,0.96,0.11,0.61,0.61,-0.24,0.97,0.90,5,534,10,28
0.12,0.95,0.12,0.55,0.24,-0.31,0.97,0.67,5,535,11,26
0.12,0.96,0.11,0.18,0.43,-0.24,0.97,0.53,5,536,10,24
0.12,0.96,0.11,0.43,0.31,-0.24,0.97,0.58,5,538,11,26
0.12,0.96,0.12,0.85,0.31,-0.31,0.97,0.96,5,535,10,25
0.11,0.95,0.12,0.31,0.67,-0.24,0.97,0.78,5,534,10,24
0.11,0.96,0.11,0.24,0.55,-0.24,0.97,0.65,5,536,11,25
0.11,0.96,0.11,0.43,0.43,-0.31,0.97,0.68,5,538,10,25
0.12,0.95,0.11,0.55,0.31,-0.43,0.97,0.76,5,537,10,26
0.11,0.96,0.11,0.12,0.85,-0.24,0.97,0.90,5,534,9,26
0.11,0.96,0.11,0.49,0.37,-0.37,0.97,0.71,5,535,10,27
0.11,0.95,0.12,0.85,0.61,-0.37,0.97,1.11,5,537,11,26
0.12,0.96,0.11,0.24,0.79,-0.49,0.97,0.96,5,536,10,24
0.12,0.96,0.11,0.49,0.61,-0.24,0.97,0.82,5,537,8,27
0.11,0.96,0.11,1.04,0.49,-0.37,0.97,1.20,5,536,11,23
0.11,0.95,0.12,2.01,0.31,-0.43,0.96,2.08,5,535,10,26
0.12,0.96,0.11,0.98,0.73,-0.24,0.98,1.24,5,539,9,27
0.11,0.96,0.11,1.40,0.37,-0.43,0.97,1.51,5,537,11,26
0.11,0.95,0.12,0.67,0.61,-0.55,0.97,1.06,5,537,9,27
0.12,0.96,0.11,-0.06,1.04,-0.55,0.97,1.18,5,538,10,26
0.11,0.96,0.11,0.43,0.85,-0.37,0.97,1.02,5,537,10,25
0.11,0.96,0.11,0.73,0.55,-0.18,0.97,0.93,5,537,12,25
0.11,0.96,0.11,0.92,0.49,-0.12,0.97,1.04,5,535,9,23
0.12,0.96,0.11,0.79,0.73,-0.31,0.97,1.12,5,539,9,26
0.12,0.96,0.11,1.04,0.73,-0.43,0.97,1.34,5,537,10,26
0.11,0.95,0.12,0.92,0.61,-0.37,0.97,1.16,5,535,9,26
0.11,0.96,0.11,0.55,0.73,-0.37,0.97,0.99,5,536,10,26
0.11,0.96,0.12,1.16,0.61,-0.43,0.97,1.38,5,535,12,26
0.11,0.95,0.11,0.49,0.67,-0.31,0.97,0.88,5,538,10,26
0.12,0.96,0.11,0.49,0.67,-0.31,0.97,0.88,5,535,10,27
0.11,0.96,0.11,0.98,0.67,-0.31,0.97,1.22,5,536,10,25
0.11,0.96,0.11,0.98,0.55,-0.37,0.97,1.18,5,536,10,25
0.12,0.96,0.11,0.79,0.79,-0.37,0.97,1.18,5,537,10,26
0.11,0.95,0.11,1.40,0.55,-0.37,0.97,1.55,5,535,9,26
0.11,0.96,0.12,0.85,0.49,-0.24,0.97,1.01,5,536,10,27
0.12,0.96,0.11,1.16,0.61,-0.37,0.97,1.36,5,535,11,25
0.11,0.95,0.11,1.34,0.55,-0.43,0.97,1.51,5,536,9,25
0.12,0.97,0.10,1.04,0.61,-0.31,0.98,1.24,5,536,10,26
0.11,0.95,0.12,1.59,0.43,-0.55,0.96,1.73,5,538,8,27
0.11,0.96,0.11,0.43,0.73,-0.31,0.97,0.90,5,537,11,25
0.11,0.96,0.11,0.85,0.73,-0.43,0.97,1.20,5,536,11,25
0.12,0.96,0.11,0.98,0.61,-0.43,0.97,1.23,5,537,11,27
0.11,0.96,0.11,0.73,0.55,-0.24,0.97,0.95,5,537,10,27
0.11,0.95,0.12,0.67,0.67,-0.31,0.97,1.00,5,537,8,24
0.12,0.96,0.11,0.43,0.61,-0.49,0.97,0.89,5,537,11,25
0.11,0.96,0.11,1.22,0.67,-0.37,0.97,1.44,5,539,10,26
0.12,0.96,0.11,0.98,0.85,-0.37,0.97,1.35,5,537,10,26
0.11,0.95,0.12,1.40,0.67,-0.37,0.97,1.60,5,536,10,25
0.11,0.96,0.11,0.98,0.79,-0.31,0.97,1.29,5,535,10,27
0.12,0.96,0.11,1.10,0.67,-0.37,0.97,1.34,5,533,9,25
0.12,0.95,0.12,1.83,0.85,-0.37,0.97,2.05,5,533,10,26
0.11,0.95,0.12,1.10,0.92,-0.24,0.97,1.45,5,535,9,27
0.12,0.96,0.12,1.04,0.73,-0.37,0.97,1.32,5,532,9,25
0.11,0.96,0.11,0.92,0.55,-0.24,0.97,1.10,5,532,10,25
0.11,0.96,0.12,0.98,0.55,-0.37,0.97,1.18,5,534,11,26
